,species,question,answer,category,pred,optimized_pred
44,곰피,해적생물은 뭐가 있어?,"모로우붉은실, 구멍갈파래, 미끌지누아리, 부착 해조류",seaweed,"해적생물은 해조류, 요각류, 규조류, 및 뻘질 등이 주를 이루었다. 


","해적생물은 해조류, 요각류, 규조류, 뻘질 등이 주를 이루었다. 


"
45,모자반,형태적 특징이 뭐야?,"모자반은 갈조식물의 모자반과에 속하는 식물(그림 1)로 부착기의 형태는 가반상이고, 줄기는 중심가지로부터 긴 가지를 많이 낸다. 줄기는 삼각형 기둥모양으로 비틀어져 있다. 큰 것은 수 m에 달한다. 잎의 모양은 주걱모양 또는 타원형이며, 잎의 중앙까지 약한 줄무늬가 있다. 또한, 잎은 잎이 달린 위치에 따라 그 형태에 차이가 있는데, 상부의 잎은 피침형이며 톱니가 있고, 중륵이 없고 색은 암황갈색이며 연하고 옆면에 검은 점이 있다.",seaweed,"모자반의 형태적 특징은 그림 1에서 확인할 수 있습니다. 


","모자반의 형태적 특징은 그림 1에 나와 있습니다. 기낭, 잎, 생식기탁, 줄기, 부착기로 구성되어 있습니다. 


"
46,모자반,성장 적수온이 몇 도야?,10°C 전후,seaweed,"모자반의 성장 적수온은 13~17°C, 18~24°C, 8~10°C 입니다. 


","모자반의 성장 적수온은 13~17°C, 18~24°C, 8~10°C 입니다. 


"
47,모자반,해적생물은 뭐가 있어?,"요각류 Gammaridae와 Caprella 파래류와 비단풀 등의 해조류, 괭생이모자반",seaweed,"해적생물은 바다대벌레(Caprella scaura)와 Gammaropsis utinomi 입니다. 


","해적생물은 바다대벌레(Caprella scaura)와 Gammaropsis utinomi가 있습니다. 


"
48,청각,형태적 특징이 뭐야?,"엽체는 자웅동주 또는 자웅이체이다. 체장은 10~30cm, 엽체의 굵기는 대체로 1.5~3mm이고 하부는 좀 더 굵은 편이다(강, 1968). 부착기는 넓적하게 펼쳐져 있고 그 곳에서 위로 직립한 줄기가 난다. 줄기는 매우 굵으나 차차 가늘어지면서 차상으로 분기한다. 분기한 가지는 대체로 다 같은 높이이므로 전체의 모양은 부채모양이 된다. 암수 구분은 외형적으로 불가하다.",seaweed,"청각은 다년생 해조로 1.5~3 mm 크기이며, 하부는 좀 더 두껍다. 부착기는 넓게 펼쳐져 있고 그곳에서 위로 직립한 줄기가 나 있다. 줄기는 매우 굵으나 차차 가늘어지면서 차상으로 분기한다. 분기한 가지는 대체로 같은 높이이므로 전체의 모양은 부채 모양이 된다. 어릴 때에는 몸 표면에 무색의 솜털 같은 것이 있으나 차츰 탈락되어 없어진다. 


","청각은 다년생 해조로, 1.5~3 mm의 두께를 가지며, 하부는 더욱 두껍습니다. 부착 기는 넓게 펼쳐져 있으며, 그곳에서 위로 직립한 줄기가 나갑니다. 줄기는 매우 굵으나 차차 가늘어지면서 납작하게 분기합니다. 분기한 가지는 대체로 같은 높이이므로 전체의 모양은 부채 모양이 됩니다. 어릴 때에는 몸 표면에 무색의 솜털 같은 것이 있으나 차츰 탈락되어 사라집니다. 


"
49,청각,성장 적수온이 몇 도야?,10°C 전후,seaweed,"청각의 전기양성기간중 각 수심별 생장율과 수심과 수중광량의 관계는 표 16과 같습니다. 전기양성 150일 후 수심 2m 구에서 일간 생장율이 최대치인 0.113±0.003 mm/day를 나타내었으며, 수심 0.5m 구에서 일간 생장율이 최저치인 0.018±0.007 mm/day를 평균±SD)로 나타났습니다. 청각의 전기양성기간중 각 수심별 생장율과 수심과 수중광량의 관계는 표 16과 같습니다. 전기양성 150일 후 수심 2m 구에서 일간 생장율이 최대치인 0.113±0.003 mm/day를 나타내었으며, 수심 0.5m 구에서 일간 생장율이 최저치인 0.018±0.007 mm/day를 평균±SD)로 나타났습니다. 청각의 전기양성기간중 각 수심별 생장율과 수심과 수중광량의 관계는 표 16과 같습니다. 전기양성 150일 후 수심 2m 구에서 일간 생장율이 최대치인 0.113±0.003 mm/day를 나타내었으며, 수심 0.5m 구에서 일간 생장율이 최저치인 0.018±0.007 mm/day를 평균±SD)로 나타났습니다. 

    청각의 전기양성기간중 각 수심별 생장율과 수심과 수중광량의 관계는 표 16과 같습니다. 전기양성 150일 후 수심 2m 구에서 일간 생장율이 최","청각의 가이식 기간 중 적정 수심은 0.5 m이며, 이 시기의 수온은 10~15°C였다. 청각의 전기 양성 기간 중 적정 수심은 2 m이며, 이 시기의 수온은 10~25°C였다. 


"
50,청각,해적생물은 뭐가 있어?,"요각류인 Caprella와Gammaropsis, 갯지렁이류, 뻘질",seaweed,"해적생물은 총 9종으로 해조류 4종, 규조류와 기타 동물 5종으로 나타났다. 


","해적생물은 총 17종으로 해조류 13종, 규조류와 기타 동물 4종으로 나타났다. 


"
51,넓미역,형태적 특징이 뭐야?,"뿌리는 섬유상이며, 줄기의 길이는 5~10 cm 또는 30 cm에 달하기도 한다. 엽체의 모양은 아래쪽은 납작한 원 모양(편원)이며, 중앙부 이상은 편압이다. 잎은 폭이 넓은 긴 띠 모양을 하고 있으며, 그 길이는 1~3.5 m, 폭은 25~30 cm이다. 넓미역은 미역과 같은 열편이 없으며, 오히려 다시마와 같은 긴 띠 모양이다. 줄기에서 엽상부(잎)로 이어지는 기부는 상부로 갈수록 점점 굵어지는 쐐기 모양을 하고 있다.",seaweed,"넓미역의 뿌리는 섬유상이며, 줄기의 길이는 5~10 cm 또는 30 cm에 달하기도 한다. 엽체의 모양은 아래쪽은 납작한 원 모양(편원)이며, 중앙부 이상은 편압이다. 잎은 폭이 넓은 긴 띠 모양을 하고 있으며, 그 길이는 1~3.5 m, 폭은 25~30 cm이다. 


","넓미역은 뿌리가 섬유상이며, 줄기의 길이는 5~10 cm 또는 30 cm에 달하기도 한다. 엽체의 모양은 아래쪽은 납작한 원 모양(편원)이며, 중앙부 이상은 편압이다. 잎은 폭이 넓은 긴 띠 모양을 하고 있으며, 그 길이는 1~3.5 m, 폭은 25~30 cm이다. 


"
52,넓미역,성장 적수온이 몇 도야?,25°C,seaweed,"넓미역의 성장 적수온은 15~18도 사이입니다. 


","넓미역의 성장 적수온은 15℃입니다. 


"
53,넓미역,해적생물은 뭐가 있어?,"파래류와 모로우붉은실 등 7종, 규조류 및 기타 부착생물은 4종",seaweed,"해적생물은 Navicular sp., Caprella sp., Gammaropsis sp. 그리고 Hydrozoans 이었다. 


","해적생물은 규조류, 요각류, 뻘질, 이끼벌레류, 미더덕, 오만둥이, 유령멍게가 있었다. 


"
54,미역,형태적 특징이 뭐야?,"미역은 갈조식물의 미역과에 속하는 1년생 해조류이다. 뿌리는 나뭇가지 모양이며, 아래쪽에서 돌려나기 한다. 줄기는 납작하며, 상부는 엽상부의 중륵으로 되고 잎은 좌우에 깃털 모양의 열편을 낸다. 엽체 전체의 모양은 난원형 또는 피침형이다. 줄기의 양측에는 주름이 있는데, 이것은 포자엽이다.",seaweed,"미역은 뿌리는 나뭇가지 모양이며, 아래쪽에서 돌려나기 한다. 줄기는 납작하며, 상부는 엽상부의 중륵으로 되고 잎은 좌우에 깃털 모양의 열편을 낸다. 엽체 전체의 모양은 난원형 또는 피침형이다. 줄기의 양측에는 주름이 있는데, 이것은 포자엽이다. 


","미역은 잎의 형태적 차이나 지리적 분포에 의해서 남방형과 북방형으로 나뉜다. 남방형은 일반적으로 잎의 열각이 얕고 몸 길이에 비하여 엽편수가 많다. 포자엽의 주름 수는 2~4개로 적고, 포자엽과 영양엽이 이어진 경우가 많다. 북방형은 크기가 크며, 줄기가 길고, 잎의 열각이 깊고 엽편수가 많다. 엽체 전체의 모양은 난원형 또는 피침형이다. 줄기의 양측에는 주름이 있는데, 이것은 포자엽이다. 


"
55,미역,성장 적수온이 몇 도야?,17~20°C,seaweed,"미역의 성장 적수온은 15도입니다. 


","미역의 성장 적수온은 18°C 이하입니다. 


"
56,미역,해적생물은 뭐가 있어?,"해조류는 파래류와 모로우붉은실 등 7종, 규조류 및 기타 부착생물 4종, 구멍갈파래와 개꼬시래기, 잎파래, 미끌지누아리",seaweed,"해조류는 파래류와 모로우붉은실 등 7종, 규조류 및 기타 부착생물은 4종으로 나타났으며, 특히 히드라충류 등이 다수 출현하였다. 10월에는 총 5종의 부착생물이 출현하였으며, 해조류가 3종, 기타 부착생물이 2종으로 나타났다. 11월에는 구멍갈파래와 개꼬시래기 등 2종의 생물만이 출현하였다. 


","해조류, 요각류, 규조류 및 삘질 등이 주를 이룬다. 


"
57,김,형태적 특징이 뭐야?,"건제품에 구멍기가 없고 부피가 다소 작아 김밥용으로 애용되는 일반김류(방사무늬김 계통)와 얽힘이 두껍고 거칠어 건제품에 구멍기가 많은 돌김류(모무늬돌김, 잇바디돌김 등)로 크게 구분되고 있으며, 대별되고 있는데 최근에는 그 선호도에 따라 생산과 소비량이 적절히 조절되고 있다.",seaweed,"김의 형태적 특징은  주어진 텍스트에는 나와있지 않습니다. 


","김의 형태적 특징은  주어진 텍스트에는 나와있지 않습니다. 


"
58,김,성장 적수온이 몇 도야?,"채묘기에는 22°C, 발아기에는 15~22°C, 엽체 성육기에는 5~15°C",seaweed,"성장 적수온은 주어진 정보에 나와있지 않습니다. 


","성장 적수온은 주어진 정보에 나와있지 않습니다. 


"
59,김,해적생물은 뭐가 있어?,"파래, 매생이, 따개비, 규조류",seaweed,"해적생물은 김 양성 과정에서 문제가 될 수 있는 생물입니다. 


","해적생물은 김 양성 과정에서 문제가 될 수 있는 생물입니다. 


"
60,해삼,종류별로 어디에 분포해?,"종류별 분포를 보면 해삼(청해삼)은 순수한 펄 지역을 제외한 암반, 작은 돌, 조약돌과 연결된, 모래 또는 사니질 지역으로 홍해삼보다 넓게 분포하며, 조류소통이 좋고 용존산소가 풍부한 해역에 많다.",etc,"해삼(청해삼)은 순수한 펄 지역을 제외한 암반, 작은 돌, 조약돌과 연결된 모래 또는 사니질 지역으로 홍해삼보다 넓게 분포하며, 조류소통이 좋고 용존산소가 풍부한 해역에 많다. 


","해삼(청해삼)은 순수한 펄 지역을 제외한 암반, 작은 돌, 조약돌과 연결된, 모래 또는 사니질 지역으로 홍해삼보다 넓게 분포한다. 홍해삼은 일반적으로 외해수의 영향을 강하게 받는 암초지대나 그 주변의 여울과 같은 작은 돌 또는 조약돌로 된 저질이 비교적 외해까지 발달된 해역에서 주로 서식한다. 


"
61,해삼,성장 적수온이 몇 도야?,16~17℃ 이하,etc,"해삼의 적수온은 17.5~19℃ 입니다. 


","해삼의 적수온은 17.5~19℃ 입니다. 


"
62,해삼,유생 때 먹는 먹이가 뭐야?,"지충이(Sargassum thunbergii)을 분쇄한 가루와 규조류, 유생 후반기에는 인공배합사료를 보조로 사용",etc,"유생 때 먹는 먹이는 홍효모, 각모조, 염조의 3종의 농축 먹이생물이다. 


","유생은 아우리쿨라리아의 성장 초기에는 미세조류를 5,000~10,000cells/ml의 비율로 먹여야 한다. 중간단계에서는 먹이량을 20,000cells/ml로 증가시켜야 한다. 


"
63,큰징거미새우,형태적 특징이 뭐야?,"체색은 녹색에서 갈회색이고 때로는 환경변화에 의해 청색을 띠기도 한다. 작은 더듬이는 청색이며 집게발은 청색 또는 오렌지색이다. 14 체절로 된 두흉부(cephalothorax)는 커다란 갑각으로 되어 있으며 단단하고 매끈하다. 긴 이마뿔(rostrum)은 가늘며 S자 형태를 하고 있다. 이마뿔 끝은 위를 향하여 다소 굽어 있으며 위쪽에는 11~14개, 아래쪽에는 8~10개의 가시들이 나있다.",etc,"큰징거미새우의 수컷은 작은 수컷(SM), 오렌지색 집게발을 가진 수컷(OC), 그리고 청색 집게발을 가진 수컷(BC)의 세 가지 형태적 유형으로 나눌 수 있다. 


","큰징거미새우의 체색은 녹색에서 갈회색이고 때로는 환경변화에 의해 청색을 띠기도 한다. 작은 더듬이는 청색이며 집게발은 청색 또는 오렌지색이다. 14체절로 된 두흉부(cephalothorax)는 커다란 갑각으로 되어 있으며 단단하고 매끈하다. 긴 이마뿔(rostrum)은 가늘며 S자 형태를 하고 있다. 이마뿔 끝은 위를 향하여 다소 굽어 있으며 위쪽에는 11~14개, 아래쪽에는 8~10개의 가시들이 나있다. 두부에는 눈, 촉각(더듬이), 큰턱, 작은턱이 있고 눈은 첫 유생단계를 제외하고는 안병(eyestalk) 끝에 달려있다. 흉부에는 3쌍의 턱다리가 구기를 형성하고 있고 5쌍의 가슴다리를 가지고 있는데 첫 2쌍의 가슴다리 끝에는 집게가 달려 있다. 이들 2쌍의 집게 다리는 각각 크기가 동일하며 여러 작은 가시돌기들이 나 있고 매 우 단단하고 길게 되어 있다. 복부는 6개의 체절로 되어 있으며 각 체절의 배쪽에는 6쌍의 유영지를 가지고 있고 복부의 마지막 체절인 제 6체절은 매우 딱딱하고 가시처럼 되어있으며 이를 미절(꼬리마디)이라고 한다. 


"
64,큰징거미새우,사육 수온이 몇 도야?,28∼30℃,etc,"사육 수온은 5℃ 이상이어야 한다. 


","사육 수온은 유생의 경우 25~30℃이고, 치하의 경우 25~30℃를 유지하는 것이 좋다. 


"
65,큰징거미새우,유생 때 먹는 먹이가 뭐야?,새우전용 미립자 사료와 알테미아,etc,"유생은 동물성 플랑크톤이 풍부한 해안에서 유영하며, 알테미아를 먹는다. 


","큰징거미새우 유생은 알테미아와 미립자 사료를 먹는다. 


"
66,멍게,형태적 특징이 뭐야?,"멍게의 외부 형태는 파인애플 모양(주머니)으로, 몸의 겉면에 울퉁불퉁한 돌기가 많이 있으며 두꺼운 외피(피낭)로 덮여 있다. 몸의 아래쪽은 해초의 뿌리와 비슷한 부착근(구근)이 발달하여 단단한 기질에 몸을 부착하기 좋게 생겼다. 체색은 적등색이며 몸길이는 성체(어미)의 체고가 평균 150 mm 정도까지 성장한다.",etc,"멍게는 갑각류로서, 부유 생활기를 지나 부착 생활기에 들어갈 때 부착기를 넣어 부착시키는 활동을 채묘라고 한다. 멍게 유생의 꼬리가 흡수되어 길이가 짧은 것들이 보이기 시작하면 곧 부착 생활로 들어가기 때문에 부착기를 넣어 채묘하게 된다. 


","멍게의 외부 형태는 피낭, 돌기, 입수공, 출수공, 체폭, 부착근(구근)으로 이루어져 있다. 몸의 겉면에 있는 돌기들은 탄산칼슘의 고형물로, 멍게가 성장함에 따라 같이 성장한다. 

    
"
67,멍게,적정 수온이 몇 도야?,10~16°C,etc,"적정 수온은 5~24도 입니다. 


","멍게의 적정 수온은 10~16도 입니다. 


"
68,멍게,유생 때 먹는 먹이가 뭐야?,"식물성 플랑크톤, 해산 클로렐라",etc,"유생은 규조류, 원생동물, 갑각류 중 요각류, 연체류의 유생, 각종 양식생물의 배설물, 유기물, 펄 등 유기 잔사를 먹는다. 


","멍게 유생은 부착기에 부착하기 전까지 먹이를 먹지 않습니다. 


"
69,흰다리새우,형태적 특징이 뭐야?,"형태 및 색깔은 대하와 매우 유사하여 구분이 다소 어렵지만 이마뿔(액각)이 대하에 비해 아주 짧아 흰다리새우의 이마뿔은 제2족각의 두 번째 마디(절손 부분)를 넘지 않지만 대하의 이마뿔은 두 번째 마디를 훨씬 넘는다. 이마뿔의 위쪽에는 7~10개 그리고 아래에는 24개의 가시가 나 있다. 살아 있을 때는 체색이 연한 암녹색을 띠지만 주변 환경 특성 즉, 호지의 기질, 사료 및 투명도에 따라 변화가 심한 편이고, 또한 보각(걷는 다리)이 흰색으로 보이기도 한다.",etc,"흰다리새우의 형태적 특징은 흰다리새우의 생물학적 특성 부분에서 자세히 설명되어 있습니다. 


","흰다리새우의 형태적 특징은 흰다리새우의 생물학적 특성 부분에서 자세히 설명되어 있습니다. 


"
70,흰다리새우,성장 적수온이 몇 도야?,23~30°C,etc,"성장 적수온은 25~30도입니다.




","성장 적수온은 25~30도입니다.




"
71,흰다리새우,유생 때 먹는 먹이가 뭐야?,식물성 플랑크톤(미세 부유 규조류인 키토세로스와 스켈레토네마) ,etc,"흰다리새우의 유생기 먹이는 정보는 주어진 텍스트에는 포함되어 있지 않습니다. 


","흰다리새우의 유생기 먹이는 정보는 주어진 텍스트에는 포함되어 있지 않습니다. 


"
